club,points,wins,draws,losses,goals_for,goals_against,games_played,avg_plyr_salary,league,goals,yellow_card,red_card,possession,passing,AerialsWon,tackles_pg,Interceptions pg,fouls_pg,shots,shots_on,shots_off,dribbles_pp_pg,rating,prop_shots_on,goals_pg
Strasbourg,38,9,11,18,44,67,38,490,Ligue 1,44,71,4,49.2,77.7,18.9,19.7,13.5,13.8,11.9,3.4,8.5,10.1,6.65,0.2857142857142857,1.1578947368421053
Caen,38,10,8,20,27,52,38,540,Ligue 1,27,68,4,46.2,75,22.4,19.2,12.6,13.8,12.1,3.4,8.7,8.1,6.65,0.2809917355371901,0.7105263157894737
Lille,38,10,8,20,42,67,38,810,Ligue 1,41,59,6,52.9,83,13.3,17.9,12.9,12.7,11.3,3.7,7.6,15.1,6.66,0.3274336283185841,1.0789473684210527
Toulouse,37,9,10,19,38,54,38,700,Ligue 1,38,94,3,46.5,74.3,20.5,18.4,12.6,15.5,11.4,3.9,7.5,10.3,6.68,0.34210526315789475,1
Troyes,33,9,6,23,32,59,38,390,Ligue 1,32,74,7,44.2,75.5,18.1,17.2,11.5,13,9.5,3.3,6.2,8.2,6.59,0.34736842105263155,0.8421052631578947
Metz,26,6,8,24,34,76,38,480,Ligue 1,34,76,7,46.2,76.8,16.8,18.6,13.4,14,11.3,4.2,7.1,9.4,6.59,0.3716814159292035,0.8947368421052632
Juventus,95,30,5,3,86,24,38,6310,Serie A,86,64,1,56,87.2,12.3,13.6,11.1,11.4,14.6,5.5,9.1,13.7,7.05,0.3767123287671233,2.263157894736842
SSC Napoli,91,28,7,3,77,29,38,3140,Serie A,77,56,3,60.3,87.7,10.4,15.8,9,9.2,17.3,6.8,10.5,9.2,6.94,0.39306358381502887,2.026315789473684
Roma,77,23,8,7,61,28,38,3380,Serie A,61,46,4,56.1,83.3,17.9,14.4,12.6,10.4,16.9,5.4,11.5,10.8,6.96,0.31952662721893493,1.605263157894737
Internazionale,72,20,12,6,66,30,38,3430,Serie A,66,69,1,55.1,85.7,14.7,16.6,10.6,11.9,15.1,5.4,9.7,9.3,6.92,0.35761589403973515,1.736842105263158
Lazio,72,21,9,8,89,49,38,1930,Serie A,89,73,7,51,82.7,12.9,17.8,13,11.4,14.6,5.6,9,12.2,6.95,0.3835616438356164,2.3421052631578947
AC Milan,64,18,10,10,56,42,38,4080,Serie A,56,67,7,54.6,85.3,12.1,14,9.3,13,16.1,5.9,10.2,7.8,6.76,0.3664596273291925,1.4736842105263157
Atalanta,60,16,12,10,57,39,38,1e3,Serie A,57,62,4,53.8,81.3,15.3,19.1,12.5,12.9,15.2,5.2,10,11.6,6.88,0.34210526315789475,1.5
Fiorentina,57,16,9,13,54,46,38,1270,Serie A,54,84,5,51.9,81,15.2,19.5,12.9,14.5,16.3,5,11.3,9.2,6.82,0.3067484662576687,1.4210526315789473
Torino,54,13,15,10,54,46,38,1370,Serie A,54,70,5,51.2,80,16.7,16,11.1,14.9,11.9,4.1,7.8,11,6.8,0.34453781512605036,1.4210526315789473
Sampdoria,54,16,6,16,56,60,38,1350,Serie A,56,65,3,52.5,82.4,12.6,16.4,8.8,11.2,12.7,4.6,8.1,9.4,6.7,0.3622047244094488,1.4736842105263157
Sassuolo,43,11,10,17,29,59,38,1e3,Serie A,29,81,7,44.8,75.6,16.2,14.9,13.3,12.8,13.1,3.8,9.3,8.7,6.6,0.2900763358778626,0.7631578947368421
Genoa,41,11,8,19,33,43,38,1100,Serie A,33,77,5,46.9,77.9,15.5,14.5,10.4,14.6,11,3.3,7.7,8.7,6.64,0.3,0.868421052631579
Chievo,40,10,10,18,36,59,38,680,Serie A,36,73,4,45.6,77.4,17.9,14.3,11.7,12.6,10.3,3.5,6.8,5.4,6.61,0.3398058252427184,0.9473684210526315
Udinese,40,12,4,22,48,63,38,690,Serie A,48,72,4,45.9,77.8,14.8,16.3,12.1,14,11.6,3.6,8,8.2,6.65,0.3103448275862069,1.263157894736842
Bologna,39,11,6,21,40,52,38,1070,Serie A,40,94,6,47.7,79.1,16.1,17.4,12.2,12.7,9.4,3.3,6.1,8.6,6.64,0.351063829787234,1.0526315789473684
Cagliari,39,11,6,21,33,61,38,850,Serie A,33,88,6,45.8,75.3,20.3,16.8,11.4,16.1,10,3.1,6.9,6.2,6.59,0.31,0.868421052631579
SPAL,38,8,14,16,39,59,38,750,Serie A,39,97,4,46.2,79.4,14,15.4,13.9,12.6,9.8,3,6.8,8.2,6.64,0.3061224489795918,1.0263157894736843
Crotone,35,9,8,21,40,66,38,380,Serie A,40,65,2,42.4,70.7,17.1,18.3,15.2,13.2,10,3.5,6.5,6.6,6.61,0.35,1.0526315789473684
Hellas Verona,25,7,4,27,30,78,38,780,Serie A,30,91,6,44.1,75.4,15.1,17.5,14.3,13.4,9.5,2.5,7,9.7,6.55,0.2631578947368421,0.7894736842105263
Benevento,21,6,3,29,33,84,38,560,Serie A,33,70,7,48.1,81.6,11.2,15.2,11.8,12.8,12.4,3.9,8.5,10.4,6.49,0.31451612903225806,0.868421052631579
Manchester City,100,32,4,2,106,27,38,6810,EPL,106,59,2,66.4,89,13.8,14.8,9.1,9.1,17.5,7,10.5,13.2,7.15,0.4,2.789473684210526
Manchester United,81,25,6,7,68,28,38,6810,EPL,68,64,1,53.9,83.6,16.6,14.8,12.7,10.7,13.5,4.7,8.8,12.3,6.98,0.34814814814814815,1.7894736842105263
Tottenham,77,23,8,7,74,36,38,4100,EPL,74,50,2,58.8,83.8,16.3,16.3,10,10.1,16.4,5.7,10.7,11.5,6.95,0.34756097560975613,1.9473684210526316
Liverpool,75,21,12,5,84,38,38,4740,EPL,84,44,1,58,83.8,15.7,16.8,10,9.1,16.8,6.1,10.7,11.6,6.99,0.3630952380952381,2.210526315789474
Chelsea,70,21,7,10,62,38,38,5790,EPL,62,42,4,54.4,84.3,16.2,16.7,11.1,9.6,15.9,5.8,10.1,13.5,6.94,0.36477987421383645,1.631578947368421
Arsenal,63,19,6,13,74,51,38,5250,EPL,74,57,2,58.5,84.3,17,16.4,11.3,10.1,15.6,6.2,9.4,10.1,6.92,0.39743589743589747,1.9473684210526316
Burnley,54,14,12,12,36,39,38,1780,EPL,36,65,0,45.1,70.5,25.2,14,10.6,9.2,9.9,3.4,6.5,5.7,6.78,0.3434343434343434,0.9473684210526315
Everton,49,13,10,15,44,58,38,3650,EPL,44,51,3,46.7,74.3,20.4,16.9,13.5,12.1,9.4,3.2,6.2,6.9,6.67,0.3404255319148936,1.1578947368421053
Leicester,47,12,11,15,56,60,38,3250,EPL,56,52,5,48.3,74.7,20.9,16.6,10.9,9.6,11.1,3.9,7.2,11.1,6.74,0.35135135135135137,1.4736842105263157
Newcastle United,44,12,8,18,39,47,38,2220,EPL,39,52,2,43.8,72.3,23.8,16.9,11.6,10.8,11.9,3.9,8,8,6.72,0.3277310924369748,1.0263157894736843
Crystal Palace,44,11,11,16,45,55,38,2930,EPL,45,72,0,46.9,75.4,20.2,18,14.5,11.2,12.5,4,8.5,12.7,6.84,0.32,1.1842105263157894
Bournemouth,44,11,11,16,45,61,38,2050,EPL,45,55,1,48.5,77,19,13.4,9.7,8.9,12.2,4.2,8,9,6.65,0.34426229508196726,1.1842105263157894
West Ham,42,10,12,16,48,68,38,3820,EPL,48,73,2,46.5,75.5,19.7,16.4,12.8,10,9.8,3.5,6.3,11.2,6.72,0.3571428571428571,1.263157894736842
Watford,41,11,8,19,44,64,38,1900,EPL,44,63,4,49.3,75.5,22.6,17.6,12.3,11.6,11.6,3.5,8.1,8.7,6.66,0.3017241379310345,1.1578947368421053
Brighton,40,9,13,16,34,54,38,1750,EPL,34,54,2,45.1,74.9,21.4,15.7,11.9,10.9,10.1,3.1,7,7.8,6.69,0.3069306930693069,0.8947368421052632
Huddersfield,37,9,10,19,28,58,38,1330,EPL,28,62,3,46.4,74,21.2,19.6,13.7,10.4,9.5,2.9,6.6,7.3,6.61,0.30526315789473685,0.7368421052631579
Southampton,36,7,15,16,37,56,38,2950,EPL,37,63,2,51,77.5,18.5,17.3,12.2,10.9,11.8,3.8,8,10,6.67,0.3220338983050847,0.9736842105263158
Swansea,33,8,9,21,28,56,38,2230,EPL,28,51,1,46,78.2,18.5,16.1,10.3,9.9,8.9,2.7,6.2,8.4,6.59,0.30337078651685395,0.7368421052631579
Stoke,33,7,12,19,35,68,38,2680,EPL,35,62,1,43.7,71.5,26,17.9,12.1,11.5,10.1,3.5,6.6,8.6,6.7,0.34653465346534656,0.9210526315789473
